,kecamatan,latitude,longitude,distance_gerbangtol,distance_school,distance_hospital,distance_tokoobat
61,Kebonsari,-7.3276166,112.7137227,1.548497263847109,1.366055694508302,0.6732170280490446,0.2215383435397525
62,Kebraon,-7.3321059,112.700315,1.70453699888705,0.1649006758666684,1.451791257745555,0.0921852931139056
63,Jambangan,-7.324064999999999,112.7133309,1.939851111683785,1.2083882460031554,0.2886187581288165,0.2280718314619099
64,Lidah Kulon,-7.3040734,112.6586009,7.610771602733149,0.893531026197502,0.6217771858353466,0.6235501810906896
65,Ambengan,-7.255948,112.7487669,4.350883467856042,1.4529458480241884,0.4999839727614243,0.8316888379143308
66,Manukan,-7.259610499999999,112.66605,2.7276942402828848,1.5824693653443676,0.6062679698940817,0.7168546480482506
67,Waru,-7.3503078,112.7674661,1.33553541378506,1.518988003271069,0.3142554263236924,0.3142709289358609
68,Raya A Yani,-7.345586,112.7288694,0.6573595486389089,1.0208143260558364,0.901097434311668,0.922886506152895
69,Kendangsari,-7.325722,112.7494759,2.1125296630908186,0.6611926382769856,0.3941486971674842,0.4764595035834428
70,Laguna,-7.282387999999999,112.71589,6.346013332930718,0.6990402925984213,1.8304509844088523,1.0250184131796851
71,Lidah Wetan,-7.3034458,112.6705194,8.437363989412125,0.8042765687538702,1.0077108745003935,0.3393537912264057
72,Simomulyo,-7.266312200000001,112.706274,2.8180558955868267,1.1265470691087385,0.1317286624212875,1.2111693352710424
73,Balong Sari,-7.2545424,112.6787133,1.7659407689492883,0.8823553600260008,0.9032013981174352,0.8630034959229709
74,Pemuda,-7.2654674,112.7483789,4.803816336683158,1.689303768424984,1.0107697806258922,1.4076420545216557
75,Kedung Doro,-7.263567099999999,112.7345789,3.4816233713898,0.7358431801586125,0.3825739715242346,0.4698223703253035
76,Embong Kali,-7.391142499999999,112.6094358,4.407511392100453,0.335728387980132,1.0772190977482463,0.9615409659585328
77,Undaan,-7.251792,112.7446384,3.767181145876432,1.151021826600889,0.1615107893105653,0.7630060590405131
78,Jemursari,-7.3206466,112.7461118,2.948958451879735,0.8981320776980828,1.0652649225915949,0.1878213522500564
79,Margorejo,-7.316120899999999,112.7405377,3.236481976649253,1.6361375778957814,0.7653498307493737,0.6319165748664999
80,Ngagel,-7.287440099999999,112.7472413,6.509516307528169,1.0781794793136843,0.3496380887455672,1.1810441534155307
81,Panjang Jiwo,-7.3098224,112.7643726,5.066770120017938,1.7615971492757967,0.6009933247495798,0.7700336214171658
82,Pakis,-7.2855106,112.7241509,6.6799539332682,1.0013108214891464,1.295740571253153,0.6270847074863307
83,Middle East Ring Road,-7.2574719,112.7520883,4.753903959609631,1.2752701133236823,0.8527415597462338,0.9787050892366246
84,Perak,-7.2155387,112.7333273,3.730844430143034,0.1869977947330092,1.0621120897296612,1.6758017349949448
85,Banyu Urip,-7.2719005,112.7196817,3.469623072227545,1.2238937199085185,1.3529337604291507,0.4391358445717083
